,0 1
7464,254 84
7465,259 173
7466,284 133
7467,79 531
7468,79 339
7469,419 419
7470,666 141
7471,165 531
7472,155 1
7473,86 85
7474,182 719
7475,86 141
7476,107 74
7477,654 783
7478,400 173
7479,494 484
7480,388 384
7481,108 143
7482,108 356
7483,108 477
7484,108 514
7485,108 258
7486,108 478
7487,108 90
7488,35 168
7489,155 223
7490,160 441
7491,161 44
7492,22 127
7493,269 5
7494,17 155
7495,538 498
7496,96 209
7497,87 427
7498,127 22
7499,107 290
7500,408 58
7501,48 36
7502,97 354
7503,97 124
7504,97 353
7505,97 371
7506,97 404
7507,97 125
7508,99 371
7509,327 249
7510,212 303
7511,86 506
7512,173 105
7513,254 290
7514,69 663
7515,498 362
7516,498 141
7517,21 434
7518,397 381
7519,642 212
7520,212 642
7521,405 107
7522,62 290
7523,381 397
7524,62 282
7525,70 84
7526,163 212
7527,41 212
7528,242 159
7529,212 163
7530,103 60
7531,434 544
7532,269 212
7533,212 41
7534,285 412
7535,573 573
7536,340 547
7537,288 105
7538,114 419
7539,39 34
7540,114 254
7541,484 494
7542,115 166
7543,213 498
7544,359 699
7545,359 502
7546,359 608
7547,359 265
7548,359 267
7549,359 570
7550,359 754
7551,359 707
7552,359 672
7553,74 107
7554,411 784
7555,83 282
7556,83 121
7557,83 142
7558,62 83
7559,5 269
7560,308 434
7561,532 532
7562,405 495
7563,101 65
7564,282 441
7565,282 196
7566,589 589
7567,282 184
7568,405 748
7569,290 282
7570,549 212
7571,167 231
7572,549 325
7573,65 101
7574,231 168
7575,212 549
7576,168 167
7577,168 231
7578,69 550
7579,268 227
7580,743 743
7581,114 464
7582,231 167
7583,434 308
7584,128 107
7585,392 104
7586,544 129
7587,318 420
7588,420 212
7589,544 212
7590,185 708
7591,185 124
7592,185 98
7593,185 687
7594,185 371
7595,185 618
7596,185 640
7597,185 768
7598,185 99
7599,185 404
7600,185 100
7601,185 662
7602,185 125
7603,185 101
7604,185 709
7605,589 212
7606,82 107
7607,82 62
7608,82 612
7609,196 16
7610,212 420
7611,261 116
7612,62 82
7613,405 102
7614,231 277
7615,108 69
7616,62 203
7617,158 174
7618,145 571
7619,91 212
7620,346 181
7621,492 212
7622,164 272
7623,132 532
7624,419 114
7625,538 306
7626,267 61
7627,355 166
7628,174 212
7629,23 785
7630,754 44
7631,268 212
7632,181 346
7633,242 209
7634,28 212
7635,212 91
7636,212 492
7637,173 212
7638,173 400
7639,262 191
7640,212 268
7641,212 173
7642,623 129
7643,69 671
7644,79 497
7645,424 160
7646,405 249
7647,166 559
7648,190 162
7649,786 64
7650,536 184
7651,184 540
7652,160 212
7653,184 536
7654,142 172
7655,174 208
7656,21 787
7657,11 265
7658,63 518
7659,63 365
7660,11 525
7661,129 212
7662,21 5
7663,11 555
7664,11 360
7665,265 11
7666,11 213
7667,116 261
7668,11 529
7669,420 531
7670,11 573
7671,60 320
7672,5 21
7673,401 426
7674,401 183
7675,172 142
7676,525 11
7677,63 212
7678,139 273
7679,6 362
7680,452 452
7681,788 717
7682,411 6
7683,371 212
7684,189 667
7685,189 550
7686,189 80
7687,189 663
7688,189 215
7689,189 549
7690,189 69
7691,189 82
7692,189 418
7693,189 121
7694,189 86
7695,189 311
7696,189 225
7697,189 184
7698,189 508
7699,189 679
7700,189 671
7701,189 710
7702,189 62
7703,168 28
7704,168 114
7705,168 486
7706,666 11
7707,67 189
7708,168 284
7709,168 789
7710,257 544
7711,151 136
7712,213 11
7713,210 245
7714,210 169
7715,251 115
7716,21 11
7717,48 212
7718,427 438
7719,169 210
7720,428 301
7721,209 490
7722,209 63
7723,209 174
7724,212 129
7725,176 576
7726,50 217
7727,294 493
7728,282 163
7729,357 375
7730,168 458
7731,39 35
7732,301 428
7733,450 176
7734,165 151
7735,165 32
7736,165 245
7737,165 171
7738,165 251
7739,165 40
7740,212 63
7741,88 304
7742,212 48
7743,320 60
7744,569 674
7745,569 754
7746,87 58
7747,63 552
7748,63 82
7749,63 121
7750,63 209
7751,288 152
7752,356 375
7753,87 269
7754,286 305
7755,256 106
7756,35 151
7757,552 285
7758,552 571
7759,552 63
7760,552 208
7761,355 62
7762,355 212
7763,409 278
7764,531 212
7765,665 411
7766,69 679
7767,490 209
7768,662 107
7769,322 322
7770,212 531
7771,98 124
7772,339 169
7773,497 79
7774,160 394
7775,497 482
7776,352 351
7777,563 572
7778,255 62
7779,162 190
7780,162 433
7781,602 362
7782,358 566
7783,362 19
7784,267 264
7785,790 544
7786,164 695
7787,155 211
7788,249 114
7789,211 155
7790,131 163
7791,450 420
7792,161 666
7793,180 82
7794,180 121
7795,180 160
7796,180 41
7797,180 249
7798,114 249
7799,791 493
7800,482 79
7801,212 365
7802,510 754
7803,249 83
7804,318 326
7805,83 249
7806,666 161
7807,174 209
7808,356 183
7809,114 329
7810,107 662
7811,74 316
7812,329 114
7813,13 137
7814,661 661
7815,506 498
7816,356 106
7817,324 666
7818,339 79
7819,445 581
7820,695 164
7821,481 481
7822,673 673
7823,673 495
7824,143 328
7825,747 83
7826,489 405
7827,168 166
7828,441 44
7829,748 708
7830,748 748
7831,409 280
7832,409 138
7833,138 409
7834,428 45
7835,366 233
7836,547 417
7837,233 366
7838,256 114
7839,405 489
7840,547 47
7841,16 282
7842,547 48
7843,50 433
7844,44 212
7845,403 403
7846,499 608
7847,499 602
7848,229 28
7849,541 420
7850,212 44
7851,121 189
7852,170 256
7853,375 107
7854,121 792
7855,121 453
7856,147 166
7857,147 82
7858,147 121
7859,16 44
7860,147 533
7861,474 142
7862,250 395
7863,41 166
7864,41 121
7865,41 612
7866,41 160
7867,41 546
7868,474 366
7869,506 674
7870,474 160
7871,41 601
7872,474 107
7873,121 493
7874,152 41
7875,474 186
7876,173 41
7877,173 147
7878,147 173
7879,474 615
7880,474 254
7881,377 741
7882,163 106
7883,282 80
7884,377 659
7885,377 106
7886,417 725
7887,417 245
7888,417 47
7889,417 48
7890,142 474
7891,674 506
7892,166 168
7893,245 40
7894,280 409
7895,441 362
7896,147 269
7897,256 170
7898,152 269
7899,420 541
7900,157 296
7901,157 489
7902,169 339
7903,404 269
7904,147 233
7905,678 311
7906,152 365
7907,83 269
7908,506 510
7909,160 748
7910,493 121
7911,338 229
7912,338 165
7913,338 339
7914,489 157
7915,506 672
7916,163 82
7917,163 121
7918,163 105
7919,163 249
7920,163 160
7921,83 214
7922,163 166
7923,163 601
7924,163 282
7925,163 366
7926,163 142
7927,506 9
7928,83 168
7929,83 280
7930,83 41
7931,83 458
7932,83 292
7933,56 56
7934,493 105
7935,493 249
7936,142 163
7937,141 161
7938,173 233
7939,173 269
7940,157 388
7941,441 506
7942,441 233
7943,161 141
7944,292 83
7945,173 260
7946,506 406
7947,7 466
7948,213 9
7949,7 359
7950,7 499
7951,280 83
7952,7 707
7953,7 700
7954,7 332
7955,7 406
7956,474 269
7957,474 233
7958,167 468
7959,221 0
7960,305 286
7961,512 512
7962,94 494
7963,167 749
7964,233 166
7965,233 282
7966,233 494
7967,233 601
7968,233 433
7969,233 86
7970,233 84
7971,233 142
7972,233 70
7973,233 62
7974,233 654
7975,168 83
7976,55 160
7977,137 20
7978,608 499
7979,655 183
7980,655 280
7981,87 212
7982,87 163
7983,87 404
7984,87 105
7985,87 424
7986,87 643
7987,87 173
7988,87 654
7989,87 249
7990,285 54
7991,274 45
7992,334 334
7993,793 206
7994,259 259
7995,72 106
7996,212 87
7997,173 87
7998,54 285
7999,63 210
8000,369 96
8001,369 89
8002,369 88
8003,369 304
8004,748 793
8005,304 369
8006,231 292
8007,409 306
8008,153 87
8009,153 212
8010,288 212
8011,242 242
8012,153 612
8013,212 612
8014,83 612
8015,83 212
8016,292 231
8017,498 266
8018,447 690
8019,169 495
8020,447 473
8021,266 498
8022,335 794
8023,201 128
8024,322 794
8025,242 106
8026,75 75
8027,493 87
8028,493 615
8029,105 612
8030,48 654
8031,493 424
8032,394 160
8033,163 162
8034,163 87
8035,113 725
8036,3 412
8037,20 137
8038,20 520
8039,128 94
8040,115 612
8041,404 87
8042,147 115
8043,56 520
8044,464 444
8045,610 694
8046,610 420
8047,610 296
8048,610 250
8049,610 472
8050,610 255
8051,334 140
8052,212 405
8053,9 506
8054,612 50
8055,160 55
8056,161 160
8057,285 426
8058,426 285
8059,409 184
8060,671 356
8061,88 369
8062,195 305
8063,409 292
8064,92 72
8065,92 260
8066,92 326
8067,92 173
8068,444 464
8069,549 162
8070,549 288
8071,549 276
8072,290 16
8073,409 25
8074,21 64
8075,417 795
8076,90 409
8077,434 269
8078,81 667
8079,81 508
8080,81 679
8081,81 710
8082,695 597
8083,417 30
8084,404 115
8085,405 642
8086,405 44
8087,405 329
8088,405 28
8089,405 128
8090,405 303
8091,405 210
8092,405 21
8093,405 371
8094,405 114
8095,405 296
8096,405 490
8097,405 81
8098,405 340
8099,405 226
8100,405 227
8101,405 278
8102,405 129
8103,405 169
8104,405 796
8105,405 174
8106,405 355
8107,405 367
8108,121 117
8109,495 105
8110,20 409
8111,404 212
8112,13 130
8113,305 195
8114,121 434
8115,671 81
8116,116 531
8117,116 79
8118,116 165
8119,173 92
8120,173 434
8121,173 115
8122,496 362
8123,113 438
8124,184 409
8125,498 440
8126,20 127
8127,35 30
8128,290 114
8129,290 272
8130,215 434
8131,158 233
8132,290 6
8133,290 64
8134,28 21
8135,397 458
8136,114 290
8137,114 168
8138,531 116
8139,290 107
8140,589 215
8141,499 9
8142,107 506
8143,162 549
8144,162 163
8145,222 227
8146,440 498
8147,290 160
8148,163 612
8149,290 494
8150,426 457
8151,63 183
8152,305 738
8153,21 405
8154,214 83
8155,783 669
8156,530 538
8157,530 92
8158,788 788
8159,797 605
8160,429 446
8161,429 216
8162,349 349
8163,644 644
8164,58 58
8165,58 121
8166,211 212
8167,211 738
8168,36 29
8169,414 479
8170,256 493
8171,798 798
8172,8 573
8173,285 55
8174,285 738
8175,285 481
8176,128 201
8177,210 212
8178,39 39
8179,201 342
8180,462 308
8181,462 21
8182,462 20
8183,462 272
8184,462 249
8185,447 799
8186,223 183
8187,223 117
8188,21 46
8189,21 303
8190,223 309
8191,223 560
8192,83 533
8193,83 186
8194,423 485
8195,83 115
8196,799 447
8197,128 21
8198,800 287
8199,800 185
8200,223 212
8201,342 352
8202,516 2
8203,2 516
8204,2 517
8205,46 21
8206,185 800
8207,211 131
8208,257 426
8209,352 342
8210,76 263
8211,338 367
8212,491 490
8213,473 447
8214,547 114
8215,212 211
8216,117 223
8217,212 210
8218,361 339
8219,24 261
8220,35 5
8221,206 206
8222,249 462
8223,233 158
8224,417 339
8225,82 189
8226,147 107
8227,21 462
8228,146 1
8229,86 20
8230,288 549
8231,321 295
8232,212 160
8233,266 565
8234,541 107
8235,41 23
8236,41 493
8237,41 474
8238,41 180
8239,41 115
8240,41 801
8241,201 95
8242,168 172
8243,122 231
8244,107 769
8245,474 612
8246,41 63
8247,206 294
8248,450 183
8249,376 654
8250,357 671
8251,115 513
8252,433 50
8253,259 106
8254,235 96
8255,11 21
8256,367 338
8257,466 11
8258,184 107
8259,225 189
8260,201 197
8261,129 623
8262,641 420
8263,573 11
8264,513 115
8265,160 179
8266,160 343
8267,201 352
8268,12 44
8269,63 128
8270,63 41
8271,552 518
8272,420 641
8273,11 466
8274,5 35
8275,520 20
8276,404 162
8277,525 358
8278,337 301
8279,627 627
8280,243 243
8281,309 183
8282,309 133
8283,309 95
8284,44 12
8285,160 641
8286,86 98
8287,641 160
8288,160 90
8289,160 181
8290,366 662
8291,183 309
8292,233 233
8293,520 285
8294,520 305
8295,520 286
8296,194 685
8297,802 172
8298,802 256
8299,802 129
8300,802 365
8301,162 404
8302,215 589
8303,462 121
8304,520 56
8305,314 189
8306,690 74
8307,155 363
8308,464 464
8309,95 309
8310,494 190
8311,35 35
8312,344 349
8313,363 155
8314,13 337
8315,390 526
8316,390 226
8317,37 96
8318,133 165
8319,492 510
8320,577 249
8321,160 685
8322,160 298
8323,249 577
8324,568 568
8325,81 212
8326,418 473
8327,40 442
8328,81 137
8329,430 5
8330,137 81
8331,133 28
8332,133 340
8333,133 129
8334,133 169
8335,133 367
8336,133 365
8337,427 121
8338,81 685
8339,360 11
8340,142 62
8341,430 166
8342,237 62
8343,125 283
8344,80 286
8345,80 174
8346,62 237
8347,13 278
8348,122 130
8349,549 81
8350,502 44
8351,502 500
8352,502 503
8353,502 7
8354,502 407
8355,502 504
8356,502 505
8357,502 43
8358,502 358
8359,64 165
8360,89 165
8361,405 405
8362,577 518
8363,225 225
8364,80 137
8365,142 571
8366,393 434
8367,665 137
8368,7 365
8369,139 282
8370,58 82
8371,58 142
8372,282 665
8373,160 342
8374,89 375
8375,95 214
8376,357 112
8377,526 199
8378,7 546
8379,288 756
8380,121 186
8381,5 430
8382,293 506
8383,64 644
8384,64 528
8385,160 249
8386,269 301
8387,186 82
8388,172 523
8389,223 106
8390,199 526
8391,2 160
8392,223 366
8393,28 27
8394,85 1
8395,640 98
8396,452 360
8397,452 161
8398,452 7
8399,452 570
8400,60 388
8401,60 394
8402,182 602
8403,2 286
8404,301 269
8405,249 162
8406,62 342
8407,417 485
8408,380 14
8409,162 249
8410,409 128
8411,409 450
8412,265 265
8413,83 288
8414,283 125
8415,160 89
8416,189 533
8417,282 139
8418,434 441
8419,434 28
8420,434 362
8421,434 165
8422,434 169
8423,44 434
8424,214 157
8425,10 728
8426,201 62
8427,523 172
8428,485 417
8429,199 776
8430,803 54
8431,83 152
8432,83 256
8433,83 518
8434,54 803
8435,535 482
8436,535 340
8437,105 41
8438,41 105
8439,160 68
8440,212 83
8441,588 29
8442,218 199
8443,381 377
8444,15 216
8445,482 78
8446,199 218
8447,54 63
8448,521 217
8449,681 343
8450,482 535
8451,129 275
8452,343 681
8453,602 182
8454,231 624
8455,41 215
8456,41 434
8457,160 63
8458,308 396
8459,288 431
8460,212 288
8461,62 147
8462,275 129
8463,275 178
8464,15 162
8465,730 107
8466,81 365
8467,541 215
8468,258 142
8469,562 426
8470,62 80
8471,58 612
8472,409 35
8473,215 541
8474,681 681
8475,28 133
8476,28 340
8477,28 129
8478,114 128
8479,187 667
8480,187 473
8481,187 550
8482,187 80
8483,187 663
8484,187 549
8485,187 69
8486,187 418
8487,187 184
8488,187 679
8489,187 710
8490,183 152
8491,183 518
8492,128 133
8493,128 340
8494,128 169
8495,128 367
8496,223 166
8497,129 346
8498,44 405
8499,63 54
8500,128 63
8501,550 187
8502,339 116
8503,152 183
8504,105 115
8505,494 466
8506,494 197
8507,597 695
8508,597 597
8509,367 128
8510,367 133
8511,367 340
8512,367 129
8513,147 254
8514,86 125
8515,47 129
8516,0 250
8517,0 148
8518,550 19
8519,62 478
8520,113 478
8521,444 47
8522,307 307
8523,307 347
8524,58 533
8525,132 160
8526,748 160
8527,21 21
8528,282 77
8529,426 280
8530,129 47
8531,478 62
8532,478 113
8533,549 549
8534,529 11
8535,160 481
8536,212 363
8537,312 225
8538,231 284
8539,209 155
8540,466 359
8541,184 549
8542,356 108
8543,249 530
8544,363 518
8545,272 269
8546,155 209
8547,250 0
8548,30 29
8549,45 107
8550,459 268
8551,19 550
8552,87 13
8553,113 338
8554,187 166
8555,549 106
8556,151 151
8557,681 350
8558,294 342
8559,294 214
8560,434 63
8561,286 2
8562,405 108
8563,405 87
8564,160 356
8565,31 37
8566,486 278
8567,356 160
8568,62 377
8569,550 106
8570,106 549
8571,58 481
8572,458 397
8573,356 474
8574,562 457
8575,160 132
8576,58 518
8577,405 16
8578,549 473
8579,58 412
8580,481 4
8581,481 2
8582,166 187
8583,498 608
8584,412 58
8585,226 340
8586,5 89
8587,280 172
8588,281 194
8589,281 195
8590,5 726
8591,93 64
8592,74 282
8593,80 187
8594,551 509
8595,69 551
8596,473 418
8597,129 405
8598,295 107
8599,170 151
8600,108 64
8601,730 5
8602,528 644
8603,588 23
8604,357 478
8605,284 734
8606,284 1
8607,284 296
8608,665 174
8609,47 547
8610,329 495
8611,329 371
8612,329 211
8613,329 63
8614,329 169
8615,329 46
8616,169 329
8617,169 371
8618,169 211
8619,169 63
8620,169 46
8621,223 215
8622,114 211
8623,38 339
8624,106 550
8625,8 44
8626,262 122
8627,11 64
8628,160 482
8629,754 720
8630,754 608
8631,754 555
8632,754 565
8633,754 324
8634,754 266
8635,754 11
8636,754 804
8637,455 115
8638,314 225
8639,187 365
8640,160 78
8641,280 41
8642,333 152
8643,249 518
8644,160 345
8645,35 301
8646,554 340
8647,41 14
8648,64 11
8649,62 295
8650,152 333
8651,293 530
8652,58 160
8653,246 266
8654,16 518
8655,11 754
8656,54 520
8657,215 316
8658,226 371
8659,226 114
8660,226 128
8661,272 462
8662,46 329
8663,46 495
8664,46 114
8665,46 169
8666,283 518
8667,44 499
8668,44 501
8669,44 805
8670,44 502
8671,44 503
8672,44 7
8673,44 729
8674,44 504
8675,44 332
8676,283 162
8677,226 256
8678,226 365
8679,177 60
8680,11 7
8681,5 495
8682,5 730
8683,516 192
8684,165 170
8685,773 405
8686,143 90
8687,192 58
8688,143 93
8689,2 57
8690,266 804
8691,339 38
8692,89 552
8693,169 734
8694,17 82
8695,86 264
8696,66 64
8697,45 428
8698,427 166
8699,424 269
8700,424 233
8701,427 655
8702,424 87
8703,115 366
8704,97 97
8705,282 10
8706,549 64
8707,377 62
8708,223 282
8709,99 101
8710,549 215
8711,15 164
8712,129 543
8713,284 6
8714,141 729
8715,361 361
8716,281 286
8717,358 573
8718,210 174
8719,162 58
8720,495 526
8721,495 296
8722,495 250
8723,495 60
8724,409 225
8725,409 29
8726,83 492
8727,58 145
8728,375 679
8729,389 157
8730,61 179
8731,6 284
8732,160 184
8733,543 576
8734,160 189
8735,409 305
8736,31 424
8737,424 196
8738,424 612
8739,245 326
8740,305 411
8741,424 493
8742,229 31
8743,434 83
8744,424 31
8745,108 300
8746,272 164
8747,212 404
8748,46 16
8749,404 615
8750,187 405
8751,450 543
8752,57 2
8753,448 428
8754,265 213
8755,377 172
8756,132 481
8757,63 160
8758,132 54
8759,377 764
8760,339 337
8761,339 151
8762,339 443
8763,339 30
8764,339 32
8765,339 725
8766,339 261
8767,339 245
8768,339 34
8769,339 35
8770,339 336
8771,339 136
8772,339 338
8773,339 39
8774,339 171
8775,339 40
8776,339 135
8777,24 29
8778,497 340
8779,304 88
8780,249 63
8781,189 5
8782,358 499
8783,358 500
8784,358 805
8785,358 502
8786,358 503
8787,358 7
8788,358 407
8789,358 729
8790,358 504
8791,358 505
8792,358 332
8793,358 358
8794,142 19
8795,340 497
8796,342 377
8797,40 135
8798,54 208
8799,135 40
8800,481 132
8801,470 119
8802,2 132
8803,531 531
8804,45 445
8805,291 346
8806,426 133
8807,79 78
8808,131 282
8809,342 191
8810,141 452
8811,282 131
8812,142 226
8813,64 305
8814,265 407
8815,282 531
8816,329 329
8817,24 30
8818,64 290
8819,427 82
8820,344 176
8821,640 114
8822,543 450
8823,82 151
8824,82 427
8825,89 806
8826,523 464
8827,236 132
8828,63 164
8829,464 523
8830,318 333
8831,158 132
8832,47 263
8833,114 640
8834,404 254
8835,132 158
8836,409 135
8837,609 24
8838,531 420
8839,74 745
8840,62 233
8841,160 468
8842,285 411
8843,540 184
8844,84 166
8845,226 142
8846,226 62
8847,493 526
8848,493 292
8849,7 451
8850,331 358
8851,140 216
8852,303 88
8853,331 19
8854,745 74
8855,745 221
8856,160 224
8857,331 362
8858,19 331
8859,526 493
8860,331 222
8861,154 647
8862,3 195
8863,352 347
8864,62 730
8865,21 41
8866,338 318
8867,200 498
8868,200 65
8869,232 320
8870,107 80
8871,367 160
8872,189 21
8873,189 20
8874,373 282
8875,189 1
8876,189 377
8877,62 210
8878,80 107
8879,80 189
8880,401 714
8881,170 5
8882,5 807
8883,5 189
8884,135 409
8885,128 95
8886,258 421
8887,339 115
8888,615 404
8889,69 189
8890,145 615
8891,199 377
8892,320 232
8893,138 2
8894,372 32
8895,68 160
8896,170 62
8897,518 283
8898,518 152
8899,518 256
8900,518 492
8901,377 199
8902,76 444
8903,76 423
8904,360 360
8905,285 89
8906,285 88
8907,58 194
8908,413 143
8909,190 86
8910,63 324
8911,283 174
8912,162 2
8913,388 104
8914,16 80
8915,474 112
8916,56 718
8917,143 290
8918,331 764
8919,434 62
8920,143 413
8921,46 461
8922,331 225
8923,461 46
8924,166 84
8925,546 513
8926,265 360
8927,331 223
8928,360 265
8929,160 278
8930,160 129
8931,32 27
8932,498 200
8933,450 64
8934,331 464
8935,269 461
8936,331 295
8937,215 60
8938,461 269
8939,464 331
8940,147 546
8941,340 160
8942,87 189
8943,331 328
8944,211 56
8945,89 285
8946,282 223
8947,184 115
8948,331 260
8949,107 19
8950,115 184
8951,331 29
8952,223 331
8953,56 211
8954,345 130
8955,533 515
8956,147 366
8957,562 401
8958,360 569
8959,3 520
8960,410 62
8961,44 141
8962,481 138
8963,238 210
8964,104 388
8965,169 133
8966,44 8
8967,191 528
8968,563 14
8969,29 331
8970,172 181
8971,290 143
8972,57 56
8973,57 59
8974,172 526
8975,515 413
8976,528 191
8977,260 331
8978,64 282
8979,786 786
8980,222 17
8981,96 325
8982,477 90
8983,131 211
8984,452 9
8985,325 96
8986,209 494
8987,533 457
8988,177 381
8989,493 426
8990,533 498
8991,389 385
8992,389 390
8993,338 32
8994,107 180
8995,366 147
8996,397 181
8997,590 30
8998,17 615
8999,65 493
9000,114 107
9001,546 147
9002,340 83
9003,526 172
9004,489 256
9005,30 151
9006,229 114
9007,172 714
9008,141 12
9009,122 656
9010,114 229
9011,290 280
9012,225 409
9013,520 54
9014,225 331
9015,563 484
9016,363 208
9017,172 468
9018,151 261
9019,318 338
9020,520 571
9021,590 35
9022,83 340
9023,116 123
9024,250 1
9025,250 495
9026,250 526
9027,250 296
9028,250 351
9029,250 60
9030,62 44
9031,409 272
9032,9 44
9033,44 62
9034,5 170
9035,381 178
9036,370 427
9037,370 115
9038,370 39
9039,160 340
9040,350 342
9041,123 116
9042,86 166
9043,294 526
9044,385 389
9045,249 327
9046,526 294
9047,102 102
9048,401 562
9049,272 409
9050,190 459
9051,199 296
9052,324 63
9053,6 170
9054,377 189
9055,19 510
9056,19 555
9057,19 504
9058,19 754
9059,342 199
9060,342 167
9061,482 48
9062,199 342
9063,229 39
9064,674 510
9065,338 485
9066,305 56
9067,493 65
9068,639 639
9069,56 305
9070,808 808
9071,278 611
9072,17 160
9073,409 448
9074,44 569
9075,17 154
9076,282 20
9077,284 257
9078,299 473
9079,254 445
9080,178 350
9081,160 520
9082,776 199
9083,288 613
9084,485 263
9085,485 444
9086,485 245
9087,550 549
9088,84 549
9089,84 624
9090,84 422
9091,84 160
9092,84 48
9093,84 485
9094,371 518
9095,149 157
9096,141 421
9097,5 408
9098,5 286
9099,726 1
9100,726 189
9101,726 316
9102,406 699
9103,21 183
9104,63 249
9105,137 211
9106,24 609
9107,133 168
9108,401 44
9109,401 362
9110,401 256
9111,401 129
9112,401 365
9113,183 21
9114,281 571
9115,296 107
9116,329 80
9117,329 286
9118,81 225
9119,489 771
9120,352 214
9121,184 301
9122,557 581
9123,494 106
9124,494 81
9125,494 480
9126,155 351
9127,155 46
9128,107 184
9129,428 164
9130,481 160
9131,425 513
9132,351 155
9133,474 301
9134,273 429
9135,301 474
9136,160 294
9137,164 428
9138,493 62
9139,282 41
9140,405 187
9141,444 423
9142,751 51
9143,215 221
9144,158 319
9145,158 235
9146,158 236
9147,158 243
9148,158 244
9149,173 723
9150,62 749
9151,86 222
9152,243 158
9153,430 8
9154,0 73
9155,613 288
9156,268 295
9157,373 420
9158,577 283
9159,441 87
9160,82 186
9161,685 305
9162,160 368
9163,409 2
9164,65 325
9165,295 331
9166,295 268
9167,282 160
9168,250 160
9169,494 494
9170,114 338
9171,285 809
9172,809 285
9173,80 329
9174,371 62
9175,314 184
9176,59 132
9177,533 25
9178,533 32
9179,300 444
9180,569 707
9181,776 41
9182,123 96
9183,441 105
9184,612 612
9185,321 810
9186,105 441
9187,169 64
9188,102 101
9189,407 7
9190,107 371
9191,128 155
9192,5 283
9193,535 10
9194,535 728
9195,301 321
9196,375 424
9197,12 8
9198,447 579
9199,38 722
9200,366 474
9201,555 754
9202,265 498
9203,46 155
9204,86 280
9205,86 95
9206,413 515
9207,77 581
9208,77 557
9209,77 445
9210,77 497
9211,77 531
9212,77 811
9213,77 539
9214,123 455
9215,310 317
9216,411 282
9217,455 123
9218,183 107
9219,373 180
9220,7 11
9221,215 549
9222,7 360
9223,7 213
9224,7 525
9225,685 298
9226,491 378
9227,160 142
9228,314 418
9229,328 331
9230,666 7
9231,283 152
9232,283 492
9233,362 331
9234,776 94
9235,74 459
9236,183 108
9237,466 374
9238,160 44
9239,429 6
9240,424 375
9241,597 301
9242,269 429
9243,261 28
9244,48 37
9245,409 443
9246,81 494
9247,734 177
9248,608 566
9249,73 358
9250,358 73
9251,131 58
9252,29 409
9253,57 138
9254,138 57
9255,358 331
9256,160 270
9257,160 611
9258,160 486
9259,91 143
9260,91 356
9261,91 108
9262,91 328
9263,91 357
9264,570 265
9265,237 319
9266,498 265
9267,145 160
9268,58 131
9269,9 529
9270,698 809
9271,698 552
9272,5 132
9273,429 15
9274,108 183
9275,181 379
9276,181 380
9277,181 376
9278,181 385
9279,181 386
9280,181 389
9281,181 395
9282,181 397
9283,181 368
9284,620 290
9285,22 686
9286,461 461
9287,164 535
9288,316 17
9289,164 446
9290,360 7
9291,809 698
9292,495 46
9293,156 377
9294,83 296
9295,83 393
9296,177 331
9297,411 194
9298,231 621
9299,13 590
9300,169 81
9301,7 5
9302,214 191
9303,35 25
9304,35 26
9305,35 31
9306,35 32
9307,35 590
9308,35 36
9309,35 37
9310,35 38
9311,35 40
9312,35 588
9313,445 557
9314,167 196
9315,83 13
9316,256 105
9317,160 375
9318,809 412
9319,106 74
9320,106 221
9321,441 569
9322,64 169
9323,572 350
9324,180 157
9325,86 190
9326,83 96
9327,434 296
9328,134 133
9329,569 569
9330,118 13
9331,141 51
9332,211 636
9333,590 13
9334,160 296
9335,290 99
9336,160 183
9337,160 681
9338,160 509
9339,486 611
9340,69 160
9341,160 69
9342,198 165
9343,504 8
9344,184 314
9345,290 694
9346,569 441
9347,621 278
9348,803 412
9349,160 388
9350,131 96
9351,225 283
9352,15 760
9353,81 299
9354,213 7
9355,409 38
9356,409 428
9357,132 5
9358,531 114
9359,283 420
9360,566 11
9361,62 748
9362,17 282
9363,86 18
9364,30 27
9365,325 82
9366,82 325
9367,9 573
9368,286 532
9369,12 160
9370,299 146
9371,170 28
9372,238 64
9373,459 190
9374,64 238
9375,143 108
9376,434 16
9377,12 441
9378,295 276
9379,295 162
9380,146 299
9381,466 441
9382,409 590
9383,206 196
9384,28 170
9385,16 434
9386,147 301
9387,726 5
9388,142 115
9389,301 147
9390,809 738
9391,419 340
9392,9 9
9393,58 738
9394,738 58
9395,206 203
9396,162 295
9397,411 809
9398,387 229
9399,102 405
9400,38 86
9401,168 434
9402,562 200
9403,229 387
9404,84 432
9405,226 313
9406,145 434
9407,257 284
9408,715 21
9409,346 346
9410,307 588
9411,44 573
9412,170 35
9413,183 493
9414,405 256
9415,211 106
9416,62 129
9417,128 405
9418,482 47
9419,35 170
9420,229 30
9421,47 482
9422,170 261
9423,36 438
9424,248 366
9425,438 36
9426,13 481
9427,254 285
9428,172 168
9429,118 20
9430,615 546
9431,333 527
9432,333 547
9433,333 171
9434,621 401
9435,685 81
9436,191 64
9437,107 282
9438,107 704
9439,180 434
9440,86 720
9441,481 13
9442,48 115
9443,48 427
9444,48 151
9445,48 367
9446,107 375
9447,655 301
9448,338 434
9449,301 655
9450,106 211
9451,21 400
9452,160 541
9453,405 288
9454,541 160
9455,129 176
9456,415 86
9457,160 201
9458,434 338
9459,493 460
9460,272 448
9461,74 85
9462,115 548
